"names","addresses","price","health_score"
"A4 Truck","Location Varies","$$",82
"Al Capone","82 Summer St","$",17
"Al&#39;s State Street Cafe","112 State St","$",70
"An Tain","31 India St","$$",23
"Archie&#39;s New York Deli","101 Arch St","$",2
"Archie&#39;s Place","245 Washington St","$$",10
"Au Bon Pain ","53 State St","$",58
"Au Bon Pain","1 International Pl","$",58
"Bailey and Sage","103 State St","$$",45
"Barney Fanning&#39;s","99 Broad St","$$",52
"Battery Park","33 Batterymarch St","$$$",39
"BeanTown Hoagie","102 Water St","$",78
"Benny&#39;s Crepe Cafe","Location Varies","$",36
"Bertucci&#39;s","22 Merchants Row","$$",57
"b.good","255 Washington St","$",89
"Biddy Early&#39;s","141 Pearl St","$",75
"Black Rose","160 State St","$$$",12
"Blue State Coffee","155 Seaport Blvd","$",66
"Boloco","284 Congress St","$",94
"Boloco","27 School St","$",94
"Boloco","133 Federal St","$",94
"Boloco","125 Pearl St","$",94
"Boloco","50 Congress St","$",94
"BOND","250 Franklin St","$$$$$",69
"Boston Brewin Coffee","45 Bromfield St","$",93
"Boston Common Coffee Company","10 High St","$",5
"Boston Kebab House","7 Liberty Sq","$$",81
"Boston Sail Loft","80 Atlantic Ave","$$$",11
"Boston Shawarma 2","226 Washington St","$$",76
"Bostonia Public House","131 State St","$$$$",33
"Brandy Pete&#39;s","267 Franklin St","$$$",65
"Broad Street Riot","131 Broad St","$$$$",35
"Bruegger&#39;s Bagels","211 Congress St","$",13
"Bruegger&#39;s Bagels","7 School St","$",13
"Buccieri&#39;s Cafe","260 Franklin St","$$",67
"Cafe De Boston","75 Federal St","$",37
"Cafe Fleuri","250 Franklin St","$$$$",8
"Cafe Hemshin","8 City Hall Ave","$$",83
"Cakeology","290 Washington St","$",84
"Casa Razdora","115 Water St","$$",92
"Central 37","21 Broad St","$$$",43
"Central Wharf Co.","160 Milk St","$$$$",63
"Chart House Restaurant","60 Long Wharf","$$$$",6
"Chipotle","283 Washington St","$$",73
"Clarke&#39;s at Faneuil Hall","21 Merchants Row","$$",51
"Coogan&#39;s","171 Milk Street","$$",64
"Cosi Sandwich Bar","14 Milk St","$$",30
"Cosi Sandwich Bar","133 Federal St","$$",24
"Cosi Sandwich Bar","53 State St","$$",24
"Cosi Sandwich Bar","125 High St","$$",24
"Cosi Sandwich Bar","245 Summer St","$$",24
"Cosi Sandwich Bar","2 South Station","$$",24
"Crumbs","176 Federal St","$",86
"D&#39;Angelo&#39;s Sandwich Shop","50 Franklin St","$",47
"Deli One","85 Arch St","$",0
"D&#39;Guru","185 Devonshire St","$$",77
"Elephant &amp; Castle","161 Devonshire St","$$$",18
"Espresso Love","33 Broad St","$$",80
"Falafel King","62 Summer St","$",88
"Falafel King Restaurant","48 Winter St","$",90
"Flatblack Coffee Company","50 Broad St","$$",100
"Foumami","225 Franklin St","$$",20
"Freshii","100 High St","$$",31
"GEM","42 Province St","$$$$",72
"Granary Tavern","170 Milk St","$$$$",16
"Grass Roots Cafe","101 Arch St","$",22
"Harborside Inn Cafe and Lounge","185 State St","$$$",87
"Hillstone","60 State St","$$$$$",55
"Howl at the Moon","184 High St","$$",49
"Hub Pub","18 Province St","$$",48
"India Express","417 Washington St","$",71
"Joshua&#39;s Deli","44 Batterymarch St","$$",1
"Julep Bar","200 High St","$$$",60
"Lanta Asian Cuisine","38 Batterymarch St","$$",61
"Lefty&#39;s Silver Cart","Atlantic Ave","$",54
"Legal Sea Foods","255 State St","$$$$",7
"Market","21 Broad St","$$$$",46
"Mediterranean Grill ","281 Franklin St","$$",41
"Meritage","70 Rowes Wharf","$$$$$",53
"Miel","510 Atlantic Ave","$$$$",19
"Mr Dooley&#39;s Boston Tavern","77 Broad St","$$$",42
"Nebo","520 Atlantic Ave","$$$",34
"Nix&#39;s Mate","89 Broad St","$$$$$",40
"O! Deli","190 High St","$",4
