"name","address","latitude","longitude","link","price","health_color","isVegan","isVegetarian"
"'O' Yummy Cuisine","182 Brighton Ave",42.353124,-71.133689,"/restaurants/o-yummy-cuisine/","$$","yellow",0,0
"101 Bakery","56 Beach St",42.351492,-71.060516,"/restaurants/101-bakery/","$","red",0,0
"1369 Coffee House","757 Massachusetts Ave",42.366397,-71.105596,"/restaurants/1369-coffee-house-2/","$","yellow",0,0
"1369 Coffee House","1369 Cambridge St",42.373697,-71.100696,"/restaurants/1369-coffee-house/","$","yellow",0,0
"16 Handles","1309 Beacon St",42.342122,-71.120375,"/restaurants/16-handles/","$","red",0,0
"163 Vietnamese Sandwiches","66 Harrison Ave",42.351303,-71.061458,"/restaurants/163-vietnamese-sandwiches/","$","yellow",0,0
"21st Amendment","150 Bowdoin St",42.358537,-71.06292,"/restaurants/21st-amendment/","$$","yellow",0,0
"29 Newbury","29 Newbury St",42.352369,-71.072099,"/restaurants/29-newbury/","$$$$$","yellow",0,0
"2nd St Cafe (Second St Cafe)","89 2nd St",42.368428,-71.079419,"/restaurants/2nd-st-cafe/","$","green",0,0
"40 Dalton (Forty Dalton)","40 Dalton St",42.345997,-71.084595,"/restaurants/40-dalton/","$$$$$","yellow",0,0
"49 Social","49 Temple Pl",42.355018,-71.061701,"/restaurants/49-social/","$$$$","yellow",0,0
"4A Coffee of Kazakhstan","419 Harvard St",42.345496,-71.127007,"/restaurants/4a-coffee-of-kazakhstan/","$","yellow",0,0
"5 Napkin Burger","105 Huntington Ave",42.346431,-71.080528,"/restaurants/5-napkin-burger/","$$$","yellow",0,0
"75 Chestnut","75 Chestnut St",42.35697,-71.070394,"/restaurants/75-chestnut/","$$","red",0,0
"75 on Liberty Wharf","220 Northern Ave",42.349137,-71.039529,"/restaurants/75-on-liberty-wharf/","$$","yellow",0,0
"9 Tastes (Nine Tastes)","50 JFK St",42.372096,-71.120597,"/restaurants/9-tastes/","$$","yellow",0,0
"@Union (At Union)","174 Harvard Ave",42.351183,-71.131754,"/restaurants/@union/","$$","yellow",0,0
"A @ Time","433 Cambridge St",42.354754,-71.134818,"/restaurants/a-@-time/","$$$","yellow",0,0
