"name","address","latitude","longitude","link","price","health_color","special_diet"
"'O' Yummy Cuisine","182 Brighton Ave",42.3531,-71.1337,"/restaurants/o-yummy-cuisine/","$$","yellow","  "
"101 Bakery","56 Beach St",42.3515,-71.0605,"/restaurants/101-bakery/","$","red","  "
"1369 Coffee House","757 Massachusetts Ave",42.3664,-71.1056,"/restaurants/1369-coffee-house-2/","$","yellow","  "
"1369 Coffee House","1369 Cambridge St",42.3737,-71.1007,"/restaurants/1369-coffee-house/","$","yellow","  "
"16 Handles","1309 Beacon St",42.3421,-71.1204,"/restaurants/16-handles/","$","red","  "
"163 Vietnamese Sandwiches","66 Harrison Ave",42.3513,-71.0615,"/restaurants/163-vietnamese-sandwiches/","$","green","  "
"21st Amendment","150 Bowdoin St",42.3585,-71.0629,"/restaurants/21st-amendment/","$$","yellow","  "
"29 Newbury","29 Newbury St",42.3524,-71.0721,"/restaurants/29-newbury/","$$$$$","yellow","  "
"2nd St Cafe (Second St Cafe)","89 2nd St",42.3684,-71.0794,"/restaurants/2nd-st-cafe/","$","green","  "
"40 Dalton (Forty Dalton)","40 Dalton St",42.346,-71.0846,"/restaurants/40-dalton/","$$$$$","yellow","  "
"49 Social","49 Temple Pl",42.355,-71.0617,"/restaurants/49-social/","$$$$","yellow","  "
"4A Coffee of Kazakhstan","419 Harvard St",42.3455,-71.127,"/restaurants/4a-coffee-of-kazakhstan/","$","red","  "
"5 Napkin Burger","105 Huntington Ave",42.3464,-71.0805,"/restaurants/5-napkin-burger/","$$$","yellow","  "
"75 Chestnut","75 Chestnut St",42.357,-71.0704,"/restaurants/75-chestnut/","$$","red","  "
"75 on Liberty Wharf","220 Northern Ave",42.3491,-71.0395,"/restaurants/75-on-liberty-wharf/","$$","yellow","  gluten-free"
"9 Tastes (Nine Tastes)","50 JFK St",42.3721,-71.1206,"/restaurants/9-tastes/","$$","yellow","  "
"@Union (At Union)","174 Harvard Ave",42.3512,-71.1318,"/restaurants/@union/","$$","yellow","  "
"A @ Time","433 Cambridge St",42.3548,-71.1348,"/restaurants/a-@-time/","$$$","yellow","  "
"A+ Pizza & Grill","187 Hampshire St",42.3729,-71.0992,"/restaurants/a-pizza-grill/","$","yellow","  "
"A1 Pizza and Grill","2350 Washington St",42.3294,-71.0847,"/restaurants/a1-pizza-and-grill/","$$","yellow","  "
"A4 Pizza","445 Somerville Ave",42.3822,-71.1026,"/restaurants/a4-pizza/","$$$","green","  "
"A4 Truck","Location Varies",42.358,-71.0513,"/restaurants/a4-truck/","$$","yellow","  "
"Abbey","1657 Beacon St",42.3388,-71.137,"/restaurants/abbey/","$$$$","yellow","  "
"Abbott's Frozen Custard","358 Washington St",42.349,-71.1532,"/restaurants/abbotts-frozen-custard/","$","yellow","  "
"Abby Lane","255 Tremont St",42.3503,-71.0652,"/restaurants/abby-lane/","$$$$","red","  "
"ABC Pizza House","744 Massachusetts Ave",42.3664,-71.1055,"/restaurants/abc-pizza-house/","$","red","  "
"Abe & Louie's Steakhouse","793 Boylston St",42.3489,-71.0819,"/restaurants/abe-louies-steakhouse/","$$$$$","yellow","  "
"Abigail's","291 3rd St",42.3655,-71.0828,"/restaurants/abigails/","$$$$","yellow","  "
"Acapulco","464 Centre St",42.3193,-71.1117,"/restaurants/acapulco/","$$$","yellow","  "
"Aceituna Cafe","605 W Kendall St",42.3643,-71.0817,"/restaurants/aceituna-cafe/","$$","yellow","  "
"Addis Red Sea","544 Tremont St",42.3442,-71.0715,"/restaurants/addis-red-sea-2/","$$","yellow","  "
"Aguacate Verde","13 Elm St",42.3862,-71.1138,"/restaurants/aguacate-verde/","$","green"," vegetarian-friendly "
"AK'S Takeout","1427 Tremont St",42.3316,-71.0964,"/restaurants/aks-takeout/","$$","yellow","  "
